id	front	back	tags
val-flauw-flauwvallen	val ... flauw (flauwvallen)	to faint	weather
flauw	flauw	*hier:* faint, *ook:* bland, tasteless	weather
uitgeput	uitgeput	exhausted	weather
de-stemming	de stemming	mood	weather
benauwder-benauwd	benauwder (benauwd)	stuffy, muggy	weather
zet-open-openzetten	zet ... open (openzetten)	to open	weather
het-weerbericht	het weerbericht	weather forecast	weather
het-bericht	het bericht	message, notice	weather
houd-vol-volhouden	houd ... vol (volhouden)	to keep going, to persevere	weather
de-zwemkleding	de zwemkleding	swimwear	weather
de-spiegel	de spiegel	mirror	weather
fris	fris	fresh	weather
zwoel	zwoel	sultry	weather
knus	knus	cosy	weather
doorwerken	doorwerken	to keep working	weather
comfortabel	comfortabel	comfortable	weather
koele-koel	koele (koel)	cool	weather
loom	loom	lethargic	weather
ontspannen	ontspannen	relaxed	weather
zich-ontspannen	zich ontspannen	to relax	weather
valt-mee-meevallen	valt ... mee (meevallen)	to be better than expected	weather
de-avondlucht	de avondlucht	evening air	weather
stromen	stromen	to flow, to stream	weather
dikker-dik	dikker (dik)	fat	weather
afvallen	afvallen	to lose weight	weather
wachten-op	wachten (op)	to wait (for)	weather
