id	front	back	tags
kunt-u-de-tafel-afruimen	Kunt u de tafel afruimen?	Could you clear the table?	table
mag-ik-nog-wat-water	Mag ik nog wat water?	Could I have some more water?	table

# When something is off
dit-heb-ik-niet-besteld	Dit heb ik niet besteld.	I didn't order this.	problem
het-eten-is-koud	Het eten is koud.	The food is cold.	problem
ik-heb-nog-niets-gekregen	Ik heb nog niets gekregen.	I haven't received anything yet.	problem

# Paying
de-rekening	de rekening	the bill	paying
mag-ik-de-rekening-alstublieft	Mag ik de rekening, alstublieft?	May I have the bill, please?	paying
mag-ik-afrekenen	Mag ik afrekenen?	Could I settle up?	paying
afrekenen	afrekenen	to settle the bill	paying
pinnen	pinnen	to pay by (debit) card	paying
kan-ik-pinnen	Kan ik pinnen?	Can I pay by card?	paying
alleen-pinnen	Alleen pinnen.	*staff:* card only.	staff,paying
wilt-u-pinnen-of-contant-betalen	Wilt u pinnen of contant betalen?	*staff:* card or cash?	staff,paying
contant	contant	cash	paying
samen-of-apart	Samen of apart?	*staff:* together or separately?	staff,paying
kunnen-we-apart-betalen	Kunnen we apart betalen?	Can we pay separately?	paying
de-rekening-splitsen	de rekening splitsen	to split the bill	paying
laat-maar-zitten	Laat maar zitten.	Keep the change.	paying
de-fooi	de fooi	the tip	paying
het-wisselgeld	het wisselgeld	the change	paying
de-bon	de bon	the receipt	paying
wilt-u-de-bon	Wilt u de bon?	*staff:* would you like the receipt?	staff,paying
mag-ik-een-bonnetje	Mag ik een bonnetje?	Could I have a receipt?	paying

# On the way out
fijne-dag-nog	Fijne dag nog!	Have a nice day!	greeting
prettige-avond	Prettige avond!	Have a nice evening!	greeting
